handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
garyclarkjr,2849,Gary Clark Jr.,292,rock,,40,0,Unengaged
kelseaballerini,3195,Kelsea Ballerini,4712,country,,46,0,Unengaged
rileyclemmons,2308,Riley Clemmons,734,christian,,23,0.01,Circumstantially Engaged
braidensunshine,1519,Braiden Sunshine,14,christian,,24,0,Unengaged
jquiles,3150,Justin Quiles,248,latin,,16,0,Unengaged
danbremnes,3209,Dan Bremnes,347,christian,,24,0,Unengaged
juanes,3199,Juanes,1196,latin,,37,0,Unengaged
julionalvarez,2365,Julion Alvarez,3879,latin,,11,0,Unengaged
brandonlay,3179,Brandon Lay,7,country,,47,0,Unengaged
mustard,3096,DJ Mustard,13,hiphop and r&b,,109,0,Unengaged
karolgmusic,3160,Karol G,3041,latin,,77,0,Unengaged
ollyofficial,3222,Olly Murs,21,pop,,43,0,Unengaged
auroramusic,3183,AURORA,88,rock,pop,39,0,Unengaged
ken_y_official,3219,Ken-Y,609,latin,,1,0,Unengaged
partynextdoor,260,PARTYNEXTDOOR,902,pop,,1,0,Unengaged
kevinortiznet,3230,Kevin Ortiz,309,latin,,1,0,Unengaged
aliyahmoulden,1620,Aliyah Moulden,74,christian,,25,0.02,Circumstantially Engaged
davidtdunn,3199,David Dunn,904,christian,,25,0,Unengaged
rachelplatten,3194,Rachel Platten,905,pop,,43,0,Unengaged
plumbmusic,3244,Plumb,2283,christian,,25,0.01,Circumstantially Engaged
cwbyall,3201,Craig Wayne Boyd,176,country,,47,0,Unengaged
bradpaisley,3211,Brad Paisley,2908,country,,50,0,Unengaged
hawknelson,3189,Hawk Nelson,3277,christian,,27,0,Unengaged
rihanna,3206,Rihanna,9396,pop,,33,0,Unengaged
dierksbentley,3211,Dierks Bentley,5155,country,,51,0,Unengaged
ericpaslay,3218,Eric Paslay,748,country,,51,0,Unengaged
andymineo,3217,Andy Mineo,1200,christian,hiphop and r&b,28,0,Unengaged
kheayf,3075,Khea,11,latin,,17,0,Unengaged
klasico,3116,Klasico,12,latin,,8,0,Unengaged
ashleymonroe,3231,Ashley Monroe,4,country,,52,0,Unengaged
peteyorn,3202,Pete Yorn,4,rock,,39,0,Unengaged
kanebrown,3057,Kane Brown,5486,country,,52,0,Unengaged
hannahmiller,3229,Hannah Miller,22,rock,,36,0,Unengaged
gawvi,3149,GAWVI,233,christian,,29,0,Unengaged
larryhernandez1,3201,Larry Hernandez,233,latin,,22,0,Unengaged
natalielarose,3114,Natalie La Rose,1868,hiphop and r&b,,40,0,Unengaged
leandroriosmx,3174,Leandro Rios,100,latin,,41,0,Unengaged
coleswindell,3206,Cole Swindell,5715,country,,54,0,Unengaged
robin_schulz,3230,Robin Schulz,849,pop,,17,0,Unengaged
lelepons,3159,Lele Pons,210,latin,,64,0,Unengaged
lesliegrace,3193,Leslie Grace,23,latin,,45,0,Unengaged
robinthicke,2747,Robin Thicke,167,pop,hiphop and r&b,32,0,Unengaged
sabrinaannlynn,3195,Sabrina Carpenter,986,pop,,34,0,Unengaged
liljon,3154,Lil Jon,41,latin,,115,0.01,Unengaged
samhuntmusic,37,Sam Hunt,6011,pop,,0,0,Unengaged
kramergirl,3115,Jana Kramer,1213,country,,54,0,Unengaged
carlypearce,3209,Carly Pearce,1360,country,,56,0,Unengaged
laurastorymusic,3005,Laura Story,265,christian,,29,0,Unengaged
garyallan,3169,Gary Allan,3,country,,57,0.01,Circumstantially Engaged
samsmith,3208,Sam Smith,1801,pop,,34,0,Unengaged
mackbrock,3196,Mack Brock,19,christian,,29,0,Unengaged
lin_manuel,3235,Lin-Manuel Miranda,101,latin,,80,0,Unengaged
hannahkerr,3181,Hannah Kerr,620,christian,,30,0,Unengaged
selenagomez,3202,Selena Gomez,4242,pop,,16,0,Unengaged
shawnhook,3229,Shawn Hook,289,pop,,114,0,Unengaged
nicholenordeman,3207,Nichole Nordeman,493,christian,,30,0,Unengaged
nebukinizaoshs,2874,Nebu Kiniza,17,hiphop and r&b,,17,0,Unengaged
official_tink,3080,Tink,62,hiphop and r&b,,29,0,Unengaged
mickeyguyton,3196,Mickey Guyton,6,country,,57,0.01,Circumstantially Engaged
skrillex,3219,Skrillex,496,pop,,27,0,Unengaged
coreykentwhite,3177,Corey Kent White,22,country,,58,0,Unengaged
luiscoronel,3149,Luis Coronel,742,latin,,29,0,Unengaged
taylorswift13,103,Taylor Swift,4372,pop,,1,0,Unengaged
barrettbaber,3154,Barrett Baber,112,country,,61,0,Unengaged
torikelly,3226,Tori Kelly,1182,pop,,24,0,Unengaged
torylanez,117,Tory Lanez,2342,pop,latin,0,0,Unengaged
playboicarti,477,Playboi Carti,872,hiphop and r&b,,3,0,Unengaged
maiteoficial,3186,Maite Perroni,53,latin,,26,0,Unengaged
tompetty,3207,Tom Petty,840,rock,,36,0,Unengaged
maluma,3211,Maluma,8737,latin,,7,0,Unengaged
plies,3192,Plies,89,hiphop and r&b,,12,0,Unengaged
pnbrock,3049,PnB Rock,363,hiphop and r&b,,39,0,Unengaged
ellekingmusic,3224,Elle King,3222,rock,,32,0,Unengaged
trvisxx,2896,Travis Scott,4497,pop,hiphop and r&b,12,0,Unengaged
slash,3212,Slash,13,rock,,31,0,Unengaged
andrewpeterson,3188,Andrew Peterson,9,christian,,32,0,Unengaged
dylanscottcntry,3171,Dylan Scott,2475,country,,61,0,Unengaged
preme,140,P Reign,18,hiphop and r&b,,2,0,Unengaged
malutrevejo15,137,Malu Trevejo,135,latin,,0,0,Unengaged
queennaija,3242,Queen Naija,350,hiphop and r&b,,34,0,Unengaged
rayparkerjr,1069,Ray Parker Jr.,26,hiphop and r&b,,2,0,Unengaged
realremyma,2685,Remy Ma,734,hiphop and r&b,,17,0,Unengaged
frankieballard,3156,Frankie Ballard,1280,country,,61,0.01,Circumstantially Engaged
shaniatwain,3186,Shania Twain,25,country,,61,0.01,Circumstantially Engaged
ricegum,3244,RiceGum,36,hiphop and r&b,,0,0,Unengaged
zaynmalik,3198,Zayn,1390,pop,,34,0,Unengaged
steveaoki,3207,Steve Aoki,194,pop,,115,0.01,Circumstantially Engaged
tovelo,3224,Tove Lo,705,pop,,44,0.01,Circumstantially Engaged
kflay,3208,K.Flay,71,rock,,29,0,Unengaged
_kennyrogers,3208,Kenny Rogers,58,rock,,28,0,Unengaged
mandisaofficial,3228,Mandisa,2262,christian,,32,0,Unengaged
manuelturizomtz,301,Manuel Turizo,824,latin,,0,0,Unengaged
patthebarrett,1885,Pat Barrett,854,christian,,34,0.01,Circumstantially Engaged
carrieunderwood,3216,Carrie Underwood,6707,country,,63,0.01,Circumstantially Engaged
philwickham,3242,Phil Wickham,2585,christian,,34,0,Unengaged
kipmooremusic,3142,Kip Moore,2149,country,,63,0.01,Circumstantially Engaged
troyesivan,3199,Troye Sivan,784,pop,,18,0.01,Circumstantially Engaged
marcanthony,3238,Marc Anthony,350,latin,,24,0,Unengaged
nataliegrant,3227,Natalie Grant,3372,christian,,36,0,Unengaged
saraevansmusic,3193,Sara Evans,12,country,,64,0,Unengaged
marcoasolis,3202,Marco Antonio Solis,5,latin,,11,0,Unengaged
matthunter123,3184,Matt Hunter,48,latin,,5,0,Unengaged
emilyann_music,3204,Emily Ann Roberts,352,country,,65,0.01,Circumstantially Engaged
george_ezra,3186,George Ezra,2633,rock,,28,0,Unengaged
zaralarsson,1407,Zara Larsson,845,pop,,53,0.01,Circumstantially Engaged
1youngtakeoff,3055,Takeoff,61,pop,,48,0.01,Circumstantially Engaged
richhomiequan,3124,Rich Homie Quan,1069,hiphop and r&b,,28,0,Unengaged
richthekid,947,Rich The Kid,1049,hiphop and r&b,,7,0,Unengaged
russdiemon,3185,Russ,465,hiphop and r&b,,5,0,Unengaged
s_c_,263,JAY-Z,1139,hiphop and r&b,,0,0,Unengaged
sagethegemini,3098,Sage The Gemini,273,hiphop and r&b,,34,0,Unengaged
mue_k,3133,Mueka,24,latin,,3,0,Unengaged
sahbabii,3069,SahBabii,4,hiphop and r&b,,28,0,Unengaged
sheckwes,3169,Sheck Wes,226,hiphop and r&b,,31,0,Unengaged
snakehipsuk,3157,Snakehips,127,hiphop and r&b,,40,0,Unengaged
snoopdogg,3239,Snoop Dogg,26,hiphop and r&b,,21,0,Unengaged
snootiewild,3101,Snootie Wild,31,hiphop and r&b,,38,0,Unengaged
sushitrash,247,Joji,1,hiphop and r&b,,2,0,Unengaged
tayk,2992,Tay-K,509,hiphop and r&b,,27,0,Unengaged
musicfavela,506,Favela,2,latin,,11,0,Unengaged
peterhollens,3232,Peter Hollens,80,christian,,36,0,Unengaged
raelynn,3175,RaeLynn,697,country,,65,0.01,Circumstantially Engaged
thederekminor,1063,Derek Minor,31,christian,,36,0.04,Circumstantially Engaged
adamlambert,3205,Adam Lambert,561,pop,,63,0.01,Circumstantially Engaged
tee_grizzley,3103,Tee Grizzley,418,hiphop and r&b,,37,0,Unengaged
eastoncorbin,3179,Easton Corbin,1596,country,,67,0,Unengaged
thegame,3231,The Game,412,hiphop and r&b,,1,0,Unengaged
andersoneast,3206,Anderson East,38,rock,,27,0,Unengaged
bigsean,3067,Big Sean,4347,pop,hiphop and r&b,53,0.01,Circumstantially Engaged
thekingdream,3215,The-Dream,13,hiphop and r&b,,29,0,Unengaged
nacholacriatura,3214,Nacho,996,latin,,131,0,Unengaged
nattinatasha,3202,Natti Natasha,6765,latin,,58,0,Unengaged
britneyspears,3209,Britney Spears,599,pop,,54,0.01,Circumstantially Engaged
claredunnmusic,3134,Clare Dunn,48,country,,68,0,Unengaged
aaron_watson,3179,Aaron Watson,420,country,,69,0,Unengaged
daya,3210,Daya,1764,pop,,69,0.01,Circumstantially Engaged
rileygreenmusic,3102,Riley Green,87,country,,70,0.01,Circumstantially Engaged
therealtank,3139,Tank,177,hiphop and r&b,,42,0,Unengaged
lincolnbrewster,1806,Lincoln Brewster,1816,christian,,37,0.01,Circumstantially Engaged
colemanhell,3077,Coleman Hell,862,rock,,27,0,Unengaged
dennislloyd_,111,Dennis Lloyd,238,pop,,2,0.01,Circumstantially Engaged
trippieredd,156,Trippie Redd,138,hiphop and r&b,,1,0,Unengaged
trvisxx,2896,Travi$ Scott,139,hiphop and r&b,,12,0,Unengaged
edenxo,3185,Eden XO,112,pop,,66,0.01,Circumstantially Engaged
fettywap,3174,Fetty Wap,7513,pop,,49,0.01,Circumstantially Engaged
jamesbaymusic,3237,James Bay,4239,rock,,27,0,Unengaged
negodoborel,1940,Nego do Borel,986,latin,,12,0,Unengaged
ccuevasmusic,620,Christian Cuevas,39,christian,,38,0.06,Circumstantially Engaged
nioeldragon,3133,Nio Garcia,582,latin,,11,0,Unengaged
noriel_danger,2978,Noriel,8,latin,,15,0,Unengaged
itspaxton,3179,Paxton Ingram,96,christian,,39,0,Unengaged
lecrae,3211,Lecrae,5493,christian,,39,0,Unengaged
officialozuna,3230,Ozuna,14395,latin,,0,0,Unengaged
tedashii,3235,Tedashii,319,christian,,39,0.01,Circumstantially Engaged
offsetyrn,3049,Offset,2202,latin,hiphop and r&b,66,0.01,Unengaged
gwenstefani,3131,Gwen Stefani,601,pop,,71,0.01,Circumstantially Engaged
jasongraymusic,3223,Jason Gray,1371,christian,,41,0,Unengaged
pabloalboran,3194,Pablo Alboran,85,latin,,45,0,Unengaged
clarembee,3191,Clare Bowen,14,country,,71,0.01,Circumstantially Engaged
twaynebsm,2756,T-Wayne,925,hiphop and r&b,,19,0,Unengaged
jasonderulo,3153,Jason Derulo,1940,pop,,49,0.01,Circumstantially Engaged
joshritter,3218,Josh Ritter,7,rock,,27,0,Unengaged
jessglynne,3224,Jess Glynne,316,pop,,52,0.01,Circumstantially Engaged
coltondixon,3239,Colton Dixon,2043,christian,,42,0,Unengaged
