handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
rickross,3200,Rick Ross,136,hiphop and r&b,,74,0.01,Circumstantially Engaged
zferreiras,3194,Zacarias Ferreira,92,latin,,26,0,Unengaged
pedrocapo,3162,Pedro Capo,17,latin,,68,0.01,Circumstantially Engaged
tobykeith,3198,Toby Keith,160,country,,77,0.02,Circumstantially Engaged
blancobuffalo,1425,The White Buffalo,21,rock,,1,0,Unengaged
camila_cabello,3192,Camila Cabello,3183,pop,,86,0.03,Circumstantially Engaged
jordan_feliz,3192,Jordan Feliz,4358,christian,,93,0.02,Circumstantially Engaged
ricky_martin,3231,Ricky Martin,3075,latin,,56,0.01,Circumstantially Engaged
davidguetta,3213,David Guetta,1284,pop,,100,0.03,Circumstantially Engaged
deannajohnson23,1463,Deanna Johnson,126,christian,,100,0.07,Circumstantially Engaged
micahtylermusic,3220,Micah Tyler,2851,christian,,106,0.03,Circumstantially Engaged
nateruessmusic,295,Nate Ruess,834,rock,,1,0,Unengaged
sineadoconnorhq,96,Sinead O'Connor,35,rock,,1,0,Unengaged
stevewinwood,486,Steve Winwood,69,rock,,1,0,Unengaged
yorobbailey,241,Rob Bailey,46,rock,,1,0,Unengaged
faithhill,1787,Faith Hill,1175,country,,54,0.02,Circumstantially Engaged
rojamesxix,92,Ro James,58,hiphop and r&b,,2,0.01,Circumstantially Engaged
andyblack,8,Andy Black,83,rock,,0,0,Unengaged
schoolboyq,3169,ScHoolboy Q,580,hiphop and r&b,,61,0.01,Circumstantially Engaged
shyglizzy,3103,Shy Glizzy,6,hiphop and r&b,,49,0.01,Circumstantially Engaged
beckahshae,3233,Beckah Shae,11,christian,,118,0,Unengaged
solangeknowles,421,Solange,70,hiphop and r&b,,10,0.01,Circumstantially Engaged
kathielgifford,3190,Kathie Lee Gifford,122,christian,,118,0,Unengaged
alesso,2461,Alesso,684,pop,,74,0.04,Circumstantially Engaged
romeosantospage,3112,Romeo Santos,11469,latin,,47,0.01,Circumstantially Engaged
sza,3114,SZA,2504,hiphop and r&b,,55,0.01,Circumstantially Engaged
avrillavigne,3201,Avril Lavigne,242,christian,,129,0,Unengaged
techn9ne,3186,Tech N9Ne,280,hiphop and r&b,,57,0.01,Circumstantially Engaged
teyanataylor,3141,Teyana Taylor,1,hiphop and r&b,,76,0.01,Circumstantially Engaged
rvssian,3122,Rvssian,1111,latin,,67,0.01,Circumstantially Engaged
benrector,3205,Ben Rector,1167,rock,,0,0,Unengaged
jasminesmurray,3207,Jasmine Murray,649,christian,,140,0.01,Circumstantially Engaged
austinfrench316,1797,Austin French,921,christian,,154,0.01,Circumstantially Engaged
therealjuicyj,3122,Juicy J,468,hiphop and r&b,,54,0.01,Circumstantially Engaged
beberexha,3169,Bebe Rexha,2442,pop,hiphop and r&b,90,0.04,Circumstantially Engaged
chuckberry,154,Chuck Berry,125,rock,,0,0,Unengaged
tinashe,3176,Tinashe,429,hiphop and r&b,,78,0.01,Circumstantially Engaged
shakira,3169,Shakira,5498,latin,,76,0.01,Circumstantially Engaged
mattmahermusic,3211,Matt Maher,3475,christian,,166,0.05,Circumstantially Engaged
tkkravitz,3049,TK Kravitz,58,hiphop and r&b,,46,0.01,Circumstantially Engaged
afrojack,1715,Afrojack,251,pop,,89,0.05,Circumstantially Engaged
treysongz,3156,Trey Songz,1132,hiphop and r&b,,78,0.01,Circumstantially Engaged
dhaniharrison,1309,Dhani Harrison,69,rock,,0,0,Unengaged
keithurban,3231,Keith Urban,6616,country,,84,0.02,Circumstantially Engaged
ronniedunn,3162,Ronnie Dunn,45,country,,87,0.02,Circumstantially Engaged
zachseabaugh,3177,Zach Seabaugh,32,country,,87,0.02,Circumstantially Engaged
sosofiareyes,3221,Sofia Reyes,652,latin,,55,0.01,Circumstantially Engaged
yfnlucci,3106,YFN Lucci,836,hiphop and r&b,,62,0.01,Circumstantially Engaged
jeremih,109,Jeremih,1998,pop,,5,0.05,Circumstantially Engaged
aliciakeys,3213,Alicia Keys,118,hiphop and r&b,rock,111,0.02,Circumstantially Engaged
chrisbluelive,1620,Chris Blue,23,hiphop and r&b,,46,0.02,Circumstantially Engaged
leebrice,3171,Lee Brice,2581,country,,88,0.02,Circumstantially Engaged
joshwilsonsb,3249,Josh Wilson,1344,christian,,180,0.06,Circumstantially Engaged
blakeshelton,3202,Blake Shelton,8227,country,,95,0.03,Circumstantially Engaged
stefflondon,3091,Stefflon Do,254,latin,,63,0.01,Circumstantially Engaged
lanadelrey,133,Lana Del Rey,1151,rock,,0,0,Unengaged
tommy_torres,3232,Tommy Torres,41,latin,,50,0.01,Circumstantially Engaged
taurenwells,3216,Tauren Wells,2991,christian,,180,0.06,Circumstantially Engaged
kygomusic,1537,Kygo,1391,pop,,73,0.05,Circumstantially Engaged
sofitukker,3158,Sofi Tukker,290,pop,,155,0.05,Circumstantially Engaged
jamesarthur23,3139,James Arthur,551,pop,,179,0.06,Circumstantially Engaged
uliceschaidez1,56,Ulices Chaidez,1652,latin,,1,0.01,Circumstantially Engaged
scottymccreery,3180,Scotty McCreery,1229,country,,96,0.03,Circumstantially Engaged
joenichols,3217,Joe Nichols,216,country,,97,0.03,Circumstantially Engaged
diddy,3197,Puff Daddy,7,hiphop and r&b,,87,0.02,Circumstantially Engaged
marandarcurtis,3076,Maranda Curtis,4,christian,,185,0.06,Circumstantially Engaged
djdrama,3165,DJ Drama,287,hiphop and r&b,,92,0.02,Circumstantially Engaged
jefferyaustin,3179,Jeffery Austin,45,christian,,203,0.06,Circumstantially Engaged
carlosvives,3220,Carlos Vives,3905,latin,,93,0.02,Circumstantially Engaged
normani,3084,Normani,706,pop,,201,0.07,Circumstantially Engaged
elliegoulding,272,Ellie Goulding,1582,pop,,22,0.08,Circumstantially Engaged
flippdinero,2075,Flipp Dinero,44,hiphop and r&b,,66,0.02,Circumstantially Engaged
toddchrisley,3165,Todd Chrisley,12,country,,97,0.03,Circumstantially Engaged
frenchmontana,3177,French Montana,2567,hiphop and r&b,pop,101,0.02,Circumstantially Engaged
lorde,2,Lorde,537,rock,,0,0,Unengaged
jeezy,3072,Jeezy,1,hiphop and r&b,,91,0.02,Circumstantially Engaged
thomasrhett,3194,Thomas Rhett,8999,country,,99,0.03,Circumstantially Engaged
jrodfromoz,3231,Jerrod Niemann,162,country,,100,0.03,Circumstantially Engaged
kehlani,1278,Kehlani,448,hiphop and r&b,,38,0.02,Circumstantially Engaged
kid_ink,3170,Kid Ink,1537,hiphop and r&b,,80,0.02,Circumstantially Engaged
kriswu,163,Kris Wu,21,hiphop and r&b,,5,0.02,Circumstantially Engaged
corneliovegajr,2538,Cornelio Vega,151,latin,,87,0.02,Circumstantially Engaged
rodneyatkins,3167,Rodney Atkins,65,country,,102,0.04,Circumstantially Engaged
lilpump,2973,Lil Pump,1466,hiphop and r&b,,102,0.02,Circumstantially Engaged
prince,6,Prince,763,rock,,0,0,Unengaged
daddy_yankee,3208,Daddy Yankee,10293,latin,pop,82,0.02,Circumstantially Engaged
miguel,3119,Miguel,923,hiphop and r&b,,87,0.02,Circumstantially Engaged
djkassny,33,DJ Kass,852,latin,,1,0.02,Circumstantially Engaged
pusha_t,3174,Pusha T,50,hiphop and r&b,,96,0.02,Circumstantially Engaged
janson_chris,3223,Chris Janson,3122,country,,111,0.04,Circumstantially Engaged
tylerfarr,3200,Tyler Farr,1156,country,,111,0.04,Circumstantially Engaged
adam_cunningham,243,Adam Cunningham,3,country,,11,0.05,Circumstantially Engaged
elviscrespo,3185,Elvis Crespo,86,latin,,92,0.02,Circumstantially Engaged
